eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,76.0,0.0013326761545613408,0.0013020833721384406,2.7066822052001953,-0.0033974365796893835,1.045752763748169,0.030591309070587158,1.0,16.0,13.424851817999999,1024.0
nan,nan,83.0,0.0014746751403436065,0.0055338540114462376,2.702157974243164,-0.0032173979561775923,0.23100554943084717,-0.01584792137145996,2.0,32.0,25.64357406,2048.0
42.25,-0.75,83.0,0.0014328531688079238,0.0026041667442768812,2.695255994796753,-0.0031776167452335358,0.06411351263523102,0.07609707117080688,3.0,48.0,37.951392754000004,3072.0
50.38461538461539,-0.6153846383094788,84.0,0.006544644013047218,0.0791015625,2.673487901687622,-0.009495208971202374,0.13074584305286407,0.07862716913223267,4.0,64.0,50.011907529000005,4096.0
65.15384615384616,-1.4102563858032227,84.0,0.0035049496218562126,0.0416666679084301,2.6796398162841797,-0.0028844615444540977,0.16240821778774261,0.08637166023254395,5.0,80.0,62.102951109,5120.0
72.44642857142857,-1.4821428060531616,80.0,0.008204808458685875,0.1201171875,2.660780668258667,-0.013384833931922913,0.09255653619766235,-0.03851139545440674,6.0,96.0,74.832403975,6144.0
71.6,-1.5076923370361328,78.0,0.003709732787683606,0.0413411445915699,2.6489145755767822,-0.006757386028766632,0.13894125819206238,0.07279431819915771,7.0,112.0,87.946147805,7168.0
71.36619718309859,-1.2957746982574463,77.0,0.005774692166596651,0.0598958320915699,2.635685682296753,-0.011016812175512314,0.1490170955657959,0.13475048542022705,8.0,128.0,101.21580013100001,8192.0
72.0,-1.3333333730697632,78.0,0.005699823144823313,0.0634765625,2.6465306282043457,-0.010880987159907818,0.09553930163383484,0.3478352427482605,9.0,144.0,114.199689834,9216.0
73.69072164948453,-1.2783504724502563,78.0,0.006890313699841499,0.09375,2.6226646900177,-0.014493145979940891,0.12339100241661072,0.34805142879486084,10.0,160.0,127.285310606,10240.0
