eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,66.0,0.006918536964803934,0.0859375,2.701240301132202,-0.010352696292102337,0.9349575638771057,0.02501147985458374,1.0,16.0,15.313045694999998,1024.0
nan,nan,81.0,0.005667241755872965,0.0729166641831398,2.682692766189575,-0.01123074907809496,0.1976960301399231,0.1388302445411682,2.0,32.0,27.869950423999995,2048.0
44.0,-2.0,79.0,0.0060549150221049786,0.0804036483168602,2.668781042098999,-0.007203922141343355,0.10517829656600952,0.13439178466796875,3.0,48.0,40.776023288,3072.0
55.06666666666667,-2.066666603088379,69.0,0.004747830796986818,0.0602213554084301,2.6591243743896484,-0.007205768954008818,0.15057621896266937,0.040510475635528564,4.0,64.0,55.433550030999996,4096.0
65.78048780487805,-2.97560977935791,87.0,0.007350767496973276,0.0979817733168602,2.6661975383758545,-0.008448035456240177,0.04153486713767052,0.1813698410987854,5.0,80.0,67.168789247,5120.0
71.98214285714286,-2.8214285373687744,75.0,0.006848335266113281,0.0950520858168602,2.6537983417510986,-0.011538833379745483,0.0943835973739624,0.18986910581588745,6.0,96.0,80.657302844,6144.0
71.5,-2.6290323734283447,77.0,0.009586834348738194,0.1477864533662796,2.614898681640625,-0.010677403770387173,0.08934030681848526,0.2869846820831299,7.0,112.0,93.86440163500001,7168.0
71.25352112676056,-2.507042169570923,82.0,0.0057687461376190186,0.0729166641831398,2.6230764389038086,-0.004395396914333105,0.15163196623325348,0.23013174533843994,8.0,128.0,106.25164379900001,8192.0
72.71084337349397,-2.493975877761841,86.0,0.01091065350919962,0.1686197966337204,2.595853328704834,-0.0129421791061759,0.08173208683729172,0.34297239780426025,9.0,144.0,118.135433968,9216.0
74.65,-2.6700000762939453,80.0,0.008869805373251438,0.1100260391831398,2.5842220783233643,-0.012321765534579754,0.05893427133560181,0.365145206451416,10.0,160.0,130.841265584,10240.0
