eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,79.0,0.0009523578337393701,0.0,2.7072174549102783,-0.007157530635595322,1.525537133216858,0.027410805225372314,1.0,8.0,6.469827507999999,512.0
nan,nan,82.0,0.0036134328693151474,0.0390625,2.6947431564331055,-0.005301361437886953,0.17096753418445587,0.043141186237335205,2.0,16.0,12.654967168999999,1024.0
nan,nan,86.0,0.013251029886305332,0.1881510466337204,2.656615972518921,-0.009873451665043831,0.20231549441814423,0.061756134033203125,3.0,24.0,18.582816722,1536.0
nan,nan,78.0,0.006387535482645035,0.041015625,2.6878890991210938,-0.0009546588989906013,0.24216799437999725,0.02821826934814453,4.0,32.0,25.075168475999998,2048.0
nan,nan,77.0,0.010100476443767548,0.15625,2.6453850269317627,-0.014157437719404697,0.1668521910905838,0.051590681076049805,5.0,40.0,31.680743425999996,2560.0
44.0,-1.0,85.0,0.006845735013484955,0.0729166641831398,2.6309847831726074,-0.012954904697835445,0.07547097653150558,0.1778823733329773,6.0,48.0,37.655718611000005,3072.0
46.166666666666664,-0.6666666865348816,85.0,0.007663382682949305,0.0950520858168602,2.6697959899902344,-0.009320945478975773,0.07670138031244278,0.06146973371505737,7.0,56.0,43.646672673000005,3584.0
50.9,-1.2999999523162842,84.0,0.006625363137573004,0.09375,2.6723577976226807,-0.010661642998456955,0.07743886858224869,0.1911565065383911,8.0,64.0,49.728405714000004,4096.0
63.696969696969695,-1.5151515007019043,84.0,0.009891269728541374,0.1555989533662796,2.673835039138794,-0.006629907991737127,0.044899385422468185,0.16355031728744507,9.0,72.0,55.805249782000004,4608.0
